,Location,Date,Source
0,KOTA JAKARTA TIMUR,2019-04-26,BNPB
1,KOTA JAKARTA SELATAN,2019-04-25,BNPB
2,KOTA JAKARTA UTARA,2018-12-08,BNPB
3,KOTA JAKARTA TIMUR,2018-12-03,BNPB
4,KOTA JAKARTA TIMUR,2018-11-12,BNPB
5,KOTA JAKARTA TIMUR,2018-11-11,BNPB
6,KOTA JAKARTA TIMUR,2018-10-29,BNPB
7,KOTA JAKARTA TIMUR,2018-06-25,BNPB
8,KOTA JAKARTA BARAT,2018-06-25,BNPB
9,KOTA JAKARTA TIMUR,2018-05-21,BNPB
10,KOTA JAKARTA SELATAN,2018-05-03,BNPB
11,KOTA JAKARTA SELATAN,2018-03-04,BNPB
12,KOTA JAKARTA TIMUR,2018-03-04,BNPB
13,KOTA JAKARTA TIMUR,2018-02-15,BNPB
14,KOTA JAKARTA UTARA,2018-02-15,BNPB
15,KOTA JAKARTA TIMUR,2018-02-06,BNPB
16,KOTA JAKARTA SELATAN,2018-02-05,BNPB
17,KOTA JAKARTA TIMUR,2018-02-05,BNPB
18,KOTA JAKARTA TIMUR,2017-12-11,BNPB
19,KOTA JAKARTA SELATAN,2017-10-19,BNPB
20,KOTA JAKARTA TIMUR,2017-07-10,BNPB
21,KOTA JAKARTA SELATAN,2017-07-10,BNPB
22,KOTA JAKARTA TIMUR,2017-04-02,BNPB
23,KOTA JAKARTA TIMUR,2017-04-01,BNPB
24,KOTA JAKARTA PUSAT,2017-03-28,BNPB
25,KOTA JAKARTA SELATAN,2017-03-17,BNPB
26,KOTA JAKARTA TIMUR,2017-03-09,BNPB
27,KOTA JAKARTA SELATAN,2017-03-02,BNPB
28,KOTA JAKARTA BARAT,2017-02-24,BNPB
29,KOTA JAKARTA TIMUR,2017-02-21,BNPB
30,KOTA JAKARTA TIMUR,2017-02-20,BNPB
31,KOTA JAKARTA SELATAN,2017-02-12,BNPB
32,KOTA JAKARTA SELATAN,2016-11-11,BNPB
33,KOTA JAKARTA SELATAN,2016-11-09,BNPB
34,KOTA JAKARTA TIMUR,2016-10-11,BNPB
35,KOTA JAKARTA BARAT,2016-09-25,BNPB
36,KOTA JAKARTA TIMUR,2016-09-07,BNPB
37,KOTA JAKARTA SELATAN,2016-09-07,BNPB
38,KOTA JAKARTA BARAT,2016-08-28,BNPB
39,KOTA JAKARTA TIMUR,2016-08-28,BNPB
40,KOTA JAKARTA SELATAN,2016-08-27,BNPB
41,KOTA JAKARTA SELATAN,2016-08-19,BNPB
42,KOTA JAKARTA BARAT,2016-07-22,BNPB
43,KOTA JAKARTA SELATAN,2016-07-22,BNPB
44,KOTA JAKARTA TIMUR,2016-05-25,BNPB
45,KOTA JAKARTA TIMUR,2016-04-26,BNPB
46,KOTA JAKARTA SELATAN,2016-04-22,BNPB
47,KOTA JAKARTA TIMUR,2016-04-22,BNPB
48,KOTA JAKARTA UTARA,2016-04-21,BNPB
49,KOTA JAKARTA SELATAN,2016-04-20,BNPB
50,KOTA JAKARTA TIMUR,2016-04-02,BNPB
51,KOTA JAKARTA SELATAN,2016-04-02,BNPB
52,KOTA JAKARTA TIMUR,2016-03-18,BNPB
53,KOTA JAKARTA TIMUR,2016-03-15,BNPB
54,KOTA JAKARTA SELATAN,2016-03-11,BNPB
55,KOTA JAKARTA TIMUR,2016-03-08,BNPB
56,KOTA JAKARTA SELATAN,2016-03-08,BNPB
57,KOTA JAKARTA TIMUR,2016-03-05,BNPB
58,KOTA JAKARTA SELATAN,2016-03-05,BNPB
59,KOTA JAKARTA UTARA,2016-03-02,BNPB
60,KOTA JAKARTA BARAT,2016-03-01,BNPB
61,KOTA JAKARTA BARAT,2016-02-27,BNPB
62,KOTA JAKARTA BARAT,2016-02-26,BNPB
63,KOTA JAKARTA TIMUR,2016-02-25,BNPB
64,KOTA JAKARTA BARAT,2016-02-14,BNPB
65,KOTA JAKARTA TIMUR,2016-02-12,BNPB
66,KOTA JAKARTA SELATAN,2016-01-20,BNPB
67,KOTA JAKARTA SELATAN,2016-01-12,BNPB
68,KOTA JAKARTA SELATAN,2015-11-16,BNPB
69,KOTA JAKARTA SELATAN,2015-11-16,BNPB
70,KOTA JAKARTA TIMUR,2015-03-23,BNPB
71,KOTA JAKARTA TIMUR,2015-02-09,BNPB
72,KOTA JAKARTA PUSAT,2015-02-09,BNPB
73,KOTA JAKARTA UTARA,2015-02-09,BNPB
74,KOTA JAKARTA SELATAN,2015-02-09,BNPB
75,KOTA JAKARTA BARAT,2015-02-09,BNPB
76,KOTA JAKARTA UTARA,2015-01-23,BNPB
77,KOTA JAKARTA TIMUR,2015-01-23,BNPB
78,KOTA JAKARTA BARAT,2015-01-23,BNPB
79,KOTA JAKARTA SELATAN,2014-12-23,BNPB
80,KOTA JAKARTA TIMUR,2014-11-20,BNPB
81,KOTA JAKARTA SELATAN,2014-11-20,BNPB
82,KOTA JAKARTA TIMUR,2014-11-14,BNPB
83,KOTA JAKARTA TIMUR,2014-11-12,BNPB
84,KOTA JAKARTA TIMUR,2014-11-11,BNPB
85,KOTA JAKARTA TIMUR,2014-08-05,BNPB
86,KOTA JAKARTA TIMUR,2014-07-28,BNPB
87,KOTA JAKARTA BARAT,2014-07-07,BNPB
88,KOTA JAKARTA TIMUR,2014-06-13,BNPB
89,KOTA JAKARTA TIMUR,2014-05-23,BNPB
90,KOTA JAKARTA TIMUR,2014-05-16,BNPB
91,KOTA JAKARTA TIMUR,2014-04-06,BNPB
92,KOTA JAKARTA TIMUR,2014-03-29,BNPB
93,KOTA JAKARTA SELATAN,2014-02-25,BNPB
94,KOTA JAKARTA BARAT,2014-02-25,BNPB
95,KOTA JAKARTA TIMUR,2014-02-25,BNPB
96,KOTA JAKARTA BARAT,2014-02-23,BNPB
97,KOTA JAKARTA SELATAN,2014-02-23,BNPB
98,KOTA JAKARTA TIMUR,2014-02-23,BNPB
99,KOTA JAKARTA UTARA,2014-01-12,BNPB
100,KOTA JAKARTA TIMUR,2014-01-12,BNPB
101,KOTA JAKARTA SELATAN,2014-01-12,BNPB
102,KOTA JAKARTA PUSAT,2014-01-12,BNPB
103,KOTA JAKARTA BARAT,2014-01-12,BNPB
104,KOTA JAKARTA UTARA,2013-12-13,BNPB
105,KOTA JAKARTA TIMUR,2013-11-17,BNPB
106,KOTA JAKARTA TIMUR,2013-11-13,BNPB
107,KOTA JAKARTA SELATAN,2013-11-13,BNPB
108,KOTA JAKARTA SELATAN,2013-11-08,BNPB
109,KOTA JAKARTA TIMUR,2013-11-08,BNPB
110,KOTA JAKARTA TIMUR,2013-10-27,BNPB
111,KOTA JAKARTA TIMUR,2013-10-20,BNPB
112,KOTA JAKARTA UTARA,2013-10-18,BNPB
113,KOTA JAKARTA SELATAN,2013-08-09,BNPB
114,KOTA JAKARTA TIMUR,2013-08-09,BNPB
115,KOTA JAKARTA SELATAN,2013-08-08,BNPB
116,KOTA JAKARTA TIMUR,2013-08-03,BNPB
117,KOTA JAKARTA UTARA,2013-07-23,BNPB
118,KOTA JAKARTA TIMUR,2013-07-23,BNPB
119,KOTA JAKARTA SELATAN,2013-07-23,BNPB
120,KOTA JAKARTA UTARA,2013-07-22,BNPB
121,KOTA JAKARTA SELATAN,2013-07-22,BNPB
122,KOTA JAKARTA TIMUR,2013-07-22,BNPB
123,KOTA JAKARTA SELATAN,2013-07-20,BNPB
124,KOTA JAKARTA SELATAN,2013-07-13,BNPB
125,KOTA JAKARTA SELATAN,2013-07-11,BNPB
126,KOTA JAKARTA TIMUR,2013-05-11,BNPB
127,KOTA JAKARTA SELATAN,2013-05-11,BNPB
128,KOTA JAKARTA TIMUR,2013-05-01,BNPB
129,KOTA JAKARTA BARAT,2013-04-17,BNPB
130,KOTA JAKARTA TIMUR,2013-04-17,BNPB
131,KOTA JAKARTA TIMUR,2013-03-05,BNPB
132,KOTA JAKARTA BARAT,2013-01-16,BNPB
133,KOTA JAKARTA TIMUR,2013-01-16,BNPB
134,KOTA JAKARTA PUSAT,2013-01-16,BNPB
135,KOTA JAKARTA SELATAN,2013-01-16,BNPB
136,KOTA JAKARTA UTARA,2013-01-16,BNPB
137,KOTA JAKARTA BARAT,2013-01-13,BNPB
138,KOTA JAKARTA TIMUR,2012-12-24,BNPB
139,KOTA JAKARTA TIMUR,2012-12-21,BNPB
140,KOTA JAKARTA SELATAN,2012-12-21,BNPB
141,KOTA JAKARTA TIMUR,2012-11-22,BNPB
142,KOTA JAKARTA SELATAN,2012-11-22,BNPB
143,KOTA JAKARTA TIMUR,2012-04-02,BNPB
144,KOTA JAKARTA SELATAN,2012-04-02,BNPB
145,KOTA JAKARTA BARAT,2012-04-02,BNPB
146,KOTA JAKARTA SELATAN,2011-12-13,BNPB
147,KOTA JAKARTA TIMUR,2011-12-01,BNPB
148,KOTA JAKARTA UTARA,2011-11-28,BNPB
149,KOTA JAKARTA UTARA,2011-11-24,BNPB
150,KOTA JAKARTA SELATAN,2011-11-15,BNPB
151,KOTA JAKARTA TIMUR,2011-11-01,BNPB
152,KOTA JAKARTA SELATAN,2011-10-30,BNPB
153,KOTA JAKARTA SELATAN,2011-05-20,BNPB
154,KOTA JAKARTA SELATAN,2010-10-25,BNPB
155,KOTA JAKARTA UTARA,2010-10-04,BNPB
156,KOTA JAKARTA TIMUR,2010-10-04,BNPB
157,KOTA JAKARTA SELATAN,2010-09-26,BNPB
158,KOTA JAKARTA SELATAN,2010-09-14,BNPB
159,KOTA JAKARTA TIMUR,2010-08-25,BNPB
160,KOTA JAKARTA SELATAN,2010-08-17,BNPB
161,KOTA JAKARTA TIMUR,2010-06-30,BNPB
162,KOTA JAKARTA SELATAN,2010-03-05,BNPB
163,KOTA JAKARTA TIMUR,2010-02-18,BNPB
164,KOTA JAKARTA SELATAN,2010-02-18,BNPB
165,KOTA JAKARTA TIMUR,2010-02-13,BNPB
166,KOTA JAKARTA BARAT,2010-02-13,BNPB
167,KOTA JAKARTA UTARA,2010-01-18,BNPB
168,KOTA JAKARTA UTARA,2009-12-01,BNPB
169,KOTA JAKARTA TIMUR,2009-02-07,BNPB
170,KOTA JAKARTA BARAT,2009-01-15,BNPB
171,KOTA JAKARTA BARAT,2009-01-13,BNPB
172,KOTA JAKARTA PUSAT,2009-01-13,BNPB
173,KOTA JAKARTA UTARA,2009-01-13,BNPB
174,KOTA JAKARTA SELATAN,2009-01-13,BNPB
175,KOTA JAKARTA TIMUR,2009-01-13,BNPB
176,KOTA JAKARTA SELATAN,2008-09-08,BNPB
177,KOTA JAKARTA TIMUR,2008-03-15,BNPB
178,KOTA JAKARTA SELATAN,2008-03-15,BNPB
179,KOTA JAKARTA TIMUR,2008-03-14,BNPB
180,KOTA JAKARTA SELATAN,2008-03-14,BNPB
181,KOTA JAKARTA UTARA,2008-03-12,BNPB
182,KOTA JAKARTA TIMUR,2008-03-12,BNPB
183,KOTA JAKARTA SELATAN,2008-03-12,BNPB
184,KOTA JAKARTA BARAT,2008-03-12,BNPB
185,KOTA JAKARTA TIMUR,2008-02-27,BNPB
186,KOTA JAKARTA UTARA,2008-02-01,BNPB
187,KOTA JAKARTA TIMUR,2008-02-01,BNPB
188,KOTA JAKARTA SELATAN,2008-02-01,BNPB
189,KOTA JAKARTA PUSAT,2008-02-01,BNPB
190,KOTA JAKARTA BARAT,2008-02-01,BNPB
191,KOTA JAKARTA TIMUR,2008-01-02,BNPB
192,KOTA JAKARTA UTARA,2008-01-01,BNPB
193,KOTA JAKARTA SELATAN,2008-01-01,BNPB
194,KOTA JAKARTA PUSAT,2008-01-01,BNPB
195,KOTA JAKARTA BARAT,2008-01-01,BNPB
196,KOTA JAKARTA TIMUR,2007-11-11,BNPB
197,KOTA JAKARTA UTARA,2007-06-13,BNPB
198,KOTA JAKARTA TIMUR,2007-02-01,BNPB
199,KOTA JAKARTA SELATAN,2007-02-01,BNPB
200,KOTA JAKARTA BARAT,2007-02-01,BNPB
201,KOTA JAKARTA UTARA,2007-02-01,BNPB
202,KOTA JAKARTA PUSAT,2007-02-01,BNPB
203,KOTA JAKARTA TIMUR,2006-02-26,BNPB
204,KOTA JAKARTA TIMUR,2006-02-09,BNPB
205,KOTA JAKARTA TIMUR,2006-01-23,BNPB
206,KOTA JAKARTA SELATAN,2005-12-11,BNPB
207,KOTA JAKARTA TIMUR,2005-03-06,BNPB
208,KOTA JAKARTA TIMUR,2005-02-23,BNPB
209,KOTA JAKARTA PUSAT,2005-01-19,BNPB
210,KOTA JAKARTA TIMUR,2004-04-24,BNPB
211,KOTA JAKARTA UTARA,2004-02-20,BNPB
212,KOTA JAKARTA TIMUR,2004-02-20,BNPB
213,KOTA JAKARTA SELATAN,2004-02-20,BNPB
214,KOTA JAKARTA BARAT,2004-02-20,BNPB
215,KOTA JAKARTA TIMUR,2004-02-19,BNPB
216,KOTA JAKARTA TIMUR,2004-01-19,BNPB
217,KOTA JAKARTA SELATAN,2004-01-19,BNPB
218,KOTA JAKARTA SELATAN,2004-01-12,BNPB
219,KOTA JAKARTA SELATAN,2004-01-11,BNPB
220,KOTA JAKARTA UTARA,2003-12-29,BNPB
221,KOTA JAKARTA PUSAT,2003-12-29,BNPB
222,KOTA JAKARTA BARAT,2003-05-18,BNPB
223,KOTA JAKARTA TIMUR,2003-05-02,BNPB
224,KOTA JAKARTA SELATAN,2003-04-30,BNPB
225,KOTA JAKARTA TIMUR,2003-02-13,BNPB
226,KOTA JAKARTA SELATAN,2003-02-13,BNPB
227,KOTA JAKARTA BARAT,2003-02-13,BNPB
228,KOTA JAKARTA UTARA,2003-02-13,BNPB
229,KOTA JAKARTA PUSAT,2003-02-13,BNPB
230,KOTA JAKARTA SELATAN,2002-02-16,BNPB
231,KOTA JAKARTA SELATAN,1996-02-09,BNPB
232,KOTA JAKARTA UTARA,1994-06-13,BNPB
